ルックブックID,画像パス,コメント,品番,部位,モデル名,身長,シーズンID,ステータス,登録日,削除フラグ
42,lookbook/01201939_5e25834db8db3.jpg?v=20200120193930,,,"17,12,1",,,2,1,2020-01-18,0
41,lookbook/01201937_5e2582e8b14fd.jpg?v=20200120193742,,,"17,12,1",,,2,1,2020-01-18,0
40,lookbook/01201935_5e25825bb600c.jpg?v=20200120193716,,,"17,12,1",,,2,1,2020-01-18,0
39,lookbook/01201934_5e25824329762.jpg?v=20200120193455,,,,,,2,1,2020-01-18,0
38,lookbook/01201934_5e25822d493ff.jpg?v=20200120193431,,,"17,1",,,2,1,2020-01-18,0
37,lookbook/01201933_5e25820b93fdb.jpg?v=20200120193358,,,,,,2,1,2020-01-18,0
36,lookbook/01201933_5e2581de398d1.jpg?v=20200120193305,,,,,,2,1,2020-01-18,0
35,lookbook/01201932_5e2581c72f07d.jpg?v=20200120193241,,,12,,,2,1,2020-01-18,0
34,lookbook/01201931_5e258187dd5b1.jpg?v=20200120193138,,,"17,1",,,2,1,2020-01-18,0
33,lookbook/01201930_5e258163d0369.jpg?v=20200120193102,,,,,,2,1,2020-01-18,0
32,lookbook/01181708_5e22bcfd9dcd7.jpg?v=20200118170834,,,,,,2,1,2020-01-18,0
52,lookbook/01241547_5e2a930e8511d.jpg?v=20200124154748,,,,,,1,1,2019-10-25,0
51,lookbook/01241547_5e2a92eaaa637.jpg?v=20200124154713,,,,,,1,1,2019-10-25,0
50,lookbook/01241546_5e2a92c349a7c.jpg?v=20200124154631,,,,,,1,1,2019-10-25,0
49,lookbook/01241545_5e2a92a37de8c.jpg?v=20200124154557,,,,,,1,1,2019-10-25,0
48,lookbook/01241544_5e2a92648b132.jpg?v=20200124154455,,,,,,1,1,2019-10-25,0
47,lookbook/01241544_5e2a9237677e2.jpg?v=20200124154411,,,,,,1,1,2019-10-25,0
45,lookbook/01241543_5e2a920690ccc.jpg?v=20200124154321,,,,,,1,1,2019-10-25,0
44,lookbook/01241542_5e2a91deab709.jpg?v=20200124154243,,,,,,1,1,2019-10-25,0
43,lookbook/01241540_5e2a91685401a.jpg?v=20200124154043,,,,,,1,1,2019-10-25,0
31,lookbook/01251033_5e2b9b06b1aac.jpg?v=20200125103402,,,,,,1,2,2019-10-12,0
28,lookbook/2019F06.jpg?v=20191219184002,,,,,,1,2,2019-10-12,0
27,lookbook/01251035_5e2b9b4723028.jpg?v=20200125103505,,,,,,1,2,2019-10-12,0
26,lookbook/01251035_5e2b9b5aa8d84.jpg?v=20200125103525,,,,,,1,2,2019-10-12,0
25,lookbook/01251037_5e2b9bbdb128b.jpg?v=20200125103704,,,,,,1,2,2019-10-12,0
24,lookbook/01251037_5e2b9bd083fb1.jpg?v=20200125103723,,,,,,1,2,2019-10-12,0
23,lookbook/2019F01.jpg?v=20191219184002,,,,,,1,2,2019-10-12,0
